Space Room,,,,,,,
Contractor Construction,,,,,,,
,Demolition,,,,,,
,,Bathroom,,,,,
,,,Sink,,,,
,,,,2 x Man Hours,$25.00 ,,
,,,,TOTAL,$25.00 ,,
,,,Toilet,,,,
,,,,2 x Man Hours,$25.00 ,,
,,,,TOTAL,$25.00 ,,
,,,Walls,,,,
,,,,4 x Man Hours,$50.00 ,,
,,,,TOTAL,$50.00 ,,
,,,Plug Drains,,,,
,,,,3 in. Gripper Plastic Mechanical Test Plug,$5.57 ,,
,,,,1 x Man Hours,$12.50 ,,
,,,2 in. x 4 in. x 92-5/8 in. Prime Whitewood Stud,$2.74 ,,,
,,,4 x Man Hours,$50.00 ,,,
,,,TOTAL,$407.73 ,,,
,,Animation,,,,,
,,,10 x Man Hours,$125.00 ,,,
,,,TOTAL,$125.00 ,,,
,,Electrical,,,,,
,,,4K HDMI Cable 25ft-HDMI 2.0,$28.99 ,,,
,,,3 x Man Hours,$37.50 ,,,
,,,TOTAL,$66.49 ,,,
,,Paint,,,,,
,,,3 x Man Hours,$37.50 ,,,
,,,TOTAL,$37.50 ,,,
,,TOTAL,$636.72 ,,,,
,Ceiling,,,,,,
,,385 x Dart Ceiling Tiles,$669.90 ,,,,
,,116 x Polyline Ceiling Tiles,$201.84 ,,,,
,,6 x Man Hours,$75.00 ,,,,
,,TOTAL,$946.74 ,,,,
,Lighting,,,,,,
,,Frame,,,,,
,,,4 x 12mm - Sande Plywood ( 1/2 in. Category x 4 ft. x 8 ft.),$143.80 ,,,
,,,15 x Man Hours,$187.50 ,,,
,,,TOTAL,$331.30 ,,,
,,Electrical,,,,,
,,,8 x Muzata 40 Pack 1M/3.3ft Black Aluminum LED Channel System U1BW,$879.92 ,,,
,,,ARDUINO MEGA 2560 REV3,$31.81 ,,,
,,,30 x TBI Pro 32.8ft 300LEDs SMD 5050 RGB,"$1,039.20 ",,,
,,,MAIYUM 63-37 Tin Lead Rosin core solder wire for electrical soldering (0.8mm 50g),$6.88 ,,,
,,,AmazonBasics USB 2.0 Cable - A-Male to B-Male - 16 Feet,$5.99 ,,,
,,,USB Wall Charger,$9.99 ,,,
,,,3 x WeiMeet RFP30N06LE 30A 60V N-Channel Power Mosfet TO-220 ESD Rated for Arduino(10 Pieces),$29.97 ,,,
,,,Hook up Wire Kit (Solid Wire Kit) 22 Gage (25 Feet),$16.50 ,,,
,,,3 x Man Hours,$37.50 ,,,
,,,TOTAL,"$2,057.76 ",,,
,,Code,,,,,
,,,6 x Man Hours,$75.00 ,,,
,,,TOTAL,$75.00 ,,,
,,Paint,,,,,
,,,3 x Man Hours,$37.50 ,,,
,,,TOTAL,$37.50 ,,,
,,TOTAL,"$2,501.56 ",,,,
,Speakers,,,,,,
,,2 x AmazonBasics SW100ft 16-Gauge Speaker Wire - 100 Feet,$23.98 ,,,,
,,Lepy LP-V9S Hi-Fi Stereo Power Digital Amplifier,$29.99 ,,,,
,,3 x Pyle PDIC81RDBK, 8'' Ceiling Wall Mount Speakers,$137.40 ,,,
,,DTOL 3.5mm Male Audio Video Extension Cable RCA Male Extension 3.5mm To RCA Cable,$4.90 ,,,,
,,3 x Man Hours,$37.50 ,,,,
,,TOTAL,$233.77 ,,,,
,Microphone,,,,,,
,,Male to Female Stereo Audio Headphone Jack Adapter,$8.49 ,,,,
,,Behringer Xenyx 802 Premium 8-Input 2-Bus Mixer,$65.99 ,,,,
,,2 x Audio-Technica PRO 44 Cardioid Condenser Boundary Microphone,$198.00 ,,,,
,,GLS Audio 6 Inch Patch Y Cable Cords,$9.95 ,,,,
,,2 x Man Hours,$25.00 ,,,,
,,TOTAL,$307.43 ,,,,
,Cameras,,,,,,
,,TCL 40S325 40 Inch 1080p Smart LED Roku TV (2019),$199.99 ,,,,
,,4K HDMI Cable 25ft-HDMI 2.0,$28.99 ,,,,
,,Amcrest Prohd 1080P 4CH Video Home Security Camera System,$219.99 ,,,,
,,3 x Man Hours,$37.50 ,,,,
,,TOTAL,$486.47 ,,,,
,Game Master's Computer,,,,,,
,,Code,,,,,
,,,30 x Man Hours,$375.00 ,,,
,,,TOTAL,$375.00 ,,,
,,Install,,,,,
,,,1 x Man Hours,$12.50 ,,,
,,,TOTAL,$12.50 ,,,
,,21.5?inch iMac,"$1,099.00 ",,,,
,,TOTAL,"$1,486.50 ",,,,
,Decorate Power Supply,,,,,,
,,Blue Paint,$34.98 ,,,,
,,1 gal. #ECC-10-2 Jet Black Flat Low Odor Interior Paint and Primer in One,$27.98 ,,,,
,,8 oz. Metallic Sterling Silver Paint,$9.98 ,,,,
,,Ultra Pure White Eggshell Behr Paint,$29.98 ,,,,
,,5 x Man Hours,$62.50 ,,,,
,,TOTAL,$165.42 ,,,,
,Ship's Manual,,,,,,
,,Write,,,,,
,,,10 x Man Hours,$125.00 ,,,
,,,TOTAL,$125.00 ,,,
,,print,,,,,
,,,Spiral Binding,$20.19 ,,,
,,,100 x Print per page,$15.00 ,,,
,,,1 x Man Hours,$12.50 ,,,
,,,TOTAL,$47.69 ,,,
,,TOTAL,$172.69 ,,,,
,NASA Printer,,,,,,
,,Frame,,,,,
,,,2 in. x 4 in. x 92-5/8 in. Prime Whitewood Stud,$2.74 ,,,
,,,3 x Man Hours,$37.50 ,,,
,,,TOTAL,$40.24 ,,,
,,Electrical,,,,,
,,,1 x Man Hours,$12.50 ,,,
,,,TOTAL,$12.50 ,,,
,,Code,,,,,
,,,20 x Man Hours,$250.00 ,,,
,,,TOTAL,$250.00 ,,,
,,3'1/8 80mm Thermal Receipt POS Printer,$118.40 ,,,,
,,Gorilla Supply Thermal Receipt Paper Rolls 3 1/8,$19.36 ,,,,
,,TOTAL,$440.50 ,,,,
,Main Power Controller,,,,,,
,,Electrical,,,,,
,,,ARDUINO MEGA 2560 REV3,$31.81 ,,,
,,,AmazonBasics USB 2.0 Cable - A-Male to B-Male - 16 Feet,$5.99 ,,,
,,,USB Wall Charger,$9.99 ,,,
,,,PowerSwitch Tail II,$26.99 ,,,
,,,Hook up Wire Kit (Solid Wire Kit) 22 Gage (25 Feet),$16.50 ,,,
,,,10 x Man Hours,$125.00 ,,,
,,,TOTAL,$216.28 ,,,
,,Code,,,,,
,,,10 x Man Hours,$125.00 ,,,
,,,TOTAL,$125.00 ,,,
,,TOTAL,$341.28 ,,,,
,Conclusion,,,,,,
,,Left Station,,,,,
,,,3 x Man Hours,$37.50 ,,,
,,,TOTAL,$37.50 ,,,
,,Right Station,,,,,
,,,3 x Man Hours,$37.50 ,,,
,,,TOTAL,$37.50 ,,,
,,Captian Station,,,,,
,,,3 x Man Hours,$37.50 ,,,
,,,TOTAL,$37.50 ,,,
,,Engineer,,,,,
,,,3 x Man Hours,$37.50 ,,,
,,,TOTAL,$37.50 ,,,
,,Code,,,,,
,,,10 x Man Hours,$125.00 ,,,
,,,TOTAL,$125.00 ,,,
,,2pcs Rotary Taper Potentiometer,$11.88 ,,,,
,,2 x Safety Cover Toggle Switch with Red Indicator Light,$31.88 ,,,,
,,Nilight 50098R 6Pin Heavy Duty Rocker Toggle,$10.80 ,,,,
,,Momentary Push Button Switch,$9.96 ,,,,
,,Nilight Heavy Duty Rocker Toggle Switch,$9.36 ,,,,
,,ARDUINO MEGA 2560 REV3,$31.81 ,,,,
,,AmazonBasics USB 2.0 Cable - A-Male to B-Male - 16 Feet,$5.99 ,,,,
,,USB Wall Charger,$9.99 ,,,,
,,4 x Hook up Wire Kit (Solid Wire Kit) 22 Gage (25 Feet),$66.00 ,,,,
,,TOTAL,$462.67 ,,,,
,TOTAL,"$20,251.77 ",,,,,
Testing,,,,,,,
,Test Groups,,,,,,
,,40 x Man Hours,$500.00 ,,,,
,,TOTAL,$500.00 ,,,,
,Run Employees,,,,,,
,,40 x Man Hours,$500.00 ,,,,
,,TOTAL,$500.00 ,,,,
,TOTAL,"$1,000.00 ",,,,,
Logistical Tasks,,,,,,,
,Touch Up Paint,,,,,,
,,3 x Man Hours,$37.50 ,,,,
,,TOTAL,$37.50 ,,,,
,Order Parts,,,,,,
,,120 x Man Hours,"$1,500.00 ",,,,
,,TOTAL,"$1,500.00 ",,,,
,Flow Chart,,,,,,
,,2 x Man Hours,$25.00 ,,,,
,,TOTAL,$25.00 ,,,,
,Train Employees,,,,,,
,,80 x Man Hours,"$1,000.00 ",,,,
,,TOTAL,"$1,000.00 ",,,,
,Clean,,,,,,
,,4 x Man Hours,$50.00 ,,,,
,,TOTAL,$50.00 ,,,,
,TOTAL,"$2,612.50 ",,,,,
MAIYUM 63-37 Tin Lead Rosin core solder wire for electrical soldering (0.8mm 50g),$6.88 ,,,,,,
Developers Fee,$99.00 ,,,,,,
4.5 Gal. Plus 3 Lightweight All-Purpose Pre-Mixed Joint Compound,$13.98 ,,,,,,
2 x Standard 1-7/8 in. x 500 ft. White Self-Adhesive Drywall Joint Tape,$21.96 ,,,,,,
2 x #8 x 2-1/2 in. T-Star Screws (133 per Box),$18.40 ,,,,,,
TOTAL,"$26,054.86 ",,,,,,
