Space Room,,,,,,,,Notes on how to cut cost
,Contractor Construction,,,,,,,
,,,,1 x Man Hours,$12.50 ,,,
,,,,TOTAL,$993.56 ,,,
,,,TOTAL,"$1,419.08 ",,,,
,,Fans,,,,,,
,,,Paint Code,,,,,
,,,,SHARPIE MED WHT OB PAINT MARKER,$6.20 ,,,
,,,,1 x Man Hours,$12.50 ,,,
,,,,TOTAL,$18.70 ,,,
,,,Paint Install Strobe,,,,,
,,,,Hideaway Strobe Lights White High Power 24W 8 Chipsets Surface Mount,$42.99 ,,,
,,,,2 x Man Hours,$25.00 ,,,
,,,,TOTAL,$67.99 ,,,
,,,Strobe Controller,,,,,
,,,,Hook up Wire Kit (Solid Wire Kit) 22 Gage (25 Feet),$16.50 ,,,
,,,,USB Wall Charger,$9.99 ,,,
,,,,100 ft. 16/3 Indoor/Outdoor Extension Cord,$17.97 ,,,
,,,,ARDUINO UNO R3,$20.45 ,,,
,,,,AmazonBasics USB 2.0 Cable - A-Male to B-Male - 16 Feet,$5.99 ,,,
,,,,PowerSwitch Tail II,$26.99 ,,,
,,,,3 x Man Hours,$37.50 ,,,
,,,,TOTAL,$135.39 ,,,
,,,Install,,,,,
,,,,2 x 3 in. Black Corner Brace (4-Pack),$8.36 ,,,
,,,,2 x Man Hours,$25.00 ,,,
,,,,TOTAL,$33.36 ,,,
,,,Outlet Electrical,,,,,
,,,,Hook up Wire Kit (Solid Wire Kit) 22 Gage (25 Feet),$16.50 ,,,
,,,,USB Wall Charger,$9.99 ,,,
,,,,ARDUINO UNO R3,$20.45 ,,,
,,,,VLUXPARTS 7-Way Trailer Plug Socket Extension Cable ,$19.99 ,,,
,,,,AmazonBasics USB 2.0 Cable - A-Male to B-Male - 16 Feet,$5.99 ,,,
,,,,3 x Man Hours,$37.50 ,,,
,,,,TOTAL,$110.42 ,,,
,,,Outlet Connection,,,,,
,,,,Conntek Heavy-Duty 7-Way Plug to ROJ (25 foot),$42.42 ,,,
,,,,3 x Man Hours,$37.50 ,,,
,,,,TOTAL,$79.92 ,,,
,,,Outlet Lock,,,,,
,,,,1 x Man Hours,$12.50 ,,,
,,,,TOTAL,$12.50 ,,,
,,,2 x Holmes HBF2001DP-BM 20-Inch Box Fan,$39.98 ,,,,
,,,TOTAL,$498.26 ,,,,
,,Crackle Tube,,,,,,"We could go from three 6 inch tubes, to one 3 inch tube. That would cut the cost down by about $8500"
,,,Power Suply,,,,,
